COUNTRY,ISO3,WB Region,WB IncomeGroup,UN-OCHA Region,EC-ECHO Region,UN Geographical Region,UN Geographical Sub-Region
Afghanistan,AFG,South Asia,Low income,ROMENA,South Asia,Asia,Southern Asia
Albania,ALB,Europe & Central Asia,Upper middle income,CRD,Caucasus & EU's Eastern Neighbourhood,Europe,Southern Europe
Algeria,DZA,Middle East & North Africa,Upper middle income,ROMENA,Middle East & North Africa,Africa,Northern Africa
Angola,AGO,Sub-Saharan Africa,Upper middle income,ROSA,Sub-Saharan Africa,Africa,Middle Africa
Antigua and Barbuda,ATG,Latin America & Caribbean,High income: nonOECD,ROLAC,Central America & Caribbean,Americas,Caribbean
Argentina,ARG,Latin America & Caribbean,Upper middle income,ROLAC,Latin America,Americas,South America
Armenia,ARM,Europe & Central Asia,Lower middle income,ROCCA,Caucasus & EU's Eastern Neighbourhood,Asia,Western Asia
Australia,AUS,East Asia & Pacific,High income: OECD,ROAP,East Asia & Pacific,Oceania,Australia and New Zealand
Austria,AUT,Europe & Central Asia,High income: OECD,CRD,Europe EU,Europe,Western Europe
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,ROCCA,Caucasus & EU's Eastern Neighbourhood,Asia,Western Asia
Bahamas,BHS,Latin America & Caribbean,High income: nonOECD,ROLAC,Central America & Caribbean,Americas,Caribbean
Bahrain,BHR,Middle East & North Africa,High income: nonOECD,ROMENA,Middle East & North Africa,Asia,Western Asia
Bangladesh,BGD,South Asia,Low income,ROAP,South Asia,Asia,Southern Asia
Barbados,BRB,Latin America & Caribbean,High income: nonOECD,ROLAC,Central America & Caribbean,Americas,Caribbean
Belarus,BLR,Europe & Central Asia,Upper middle income,CRD,Caucasus & EU's Eastern Neighbourhood,Europe,Eastern Europe
Belgium,BEL,Europe & Central Asia,High income: OECD,CRD,Europe EU,Europe,Western Europe
Belize,BLZ,Latin America & Caribbean,Upper middle income,ROLAC,Central America & Caribbean,Americas,Central America
Benin,BEN,Sub-Saharan Africa,Low income,ROWCA,Sub-Saharan Africa,Africa,Western Africa
Bhutan,BTN,South Asia,Lower middle income,ROAP,South Asia,Asia,Southern Asia
Bolivia,BOL,Latin America & Caribbean,Lower middle income,ROLAC,Central America & Caribbean,Americas,South America
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,CRD,Caucasus & EU's Eastern Neighbourhood,Europe,Southern Europe
Botswana,BWA,Sub-Saharan Africa,Upper middle income,ROSA,Sub-Saharan Africa,Africa,Southern Africa
Brazil,BRA,Latin America & Caribbean,Upper middle income,ROLAC,Latin America,Americas,South America
Brunei Darussalam,BRN,East Asia & Pacific,High income: nonOECD,ROAP,East Asia & Pacific,Asia,South-Eastern Asia
Bulgaria,BGR,Europe & Central Asia,Upper middle income,CRD,Europe EU,Europe,Eastern Europe
Burkina Faso,BFA,Sub-Saharan Africa,Low income,ROWCA,Sub-Saharan Africa,Africa,Western Africa
Burundi,BDI,Sub-Saharan Africa,Low income,ROCEA,Sub-Saharan Africa,Africa,Eastern Africa
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,ROWCA,Sub-Saharan Africa,Africa,Western Africa
Cambodia,KHM,East Asia & Pacific,Low income,ROAP,East Asia & Pacific,Asia,South-Eastern Asia
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,ROWCA,Sub-Saharan Africa,Africa,Middle Africa
Canada,CAN,North America,High income: OECD,CRD,North America,Americas,Northern America
Central African Republic,CAF,Sub-Saharan Africa,Low income,ROWCA,Sub-Saharan Africa,Africa,Middle Africa
Chad,TCD,Sub-Saharan Africa,Low income,ROWCA,Sub-Saharan Africa,Africa,Middle Africa
Chile,CHL,Latin America & Caribbean,High income: OECD,ROLAC,Latin America,Americas,South America
China,CHN,East Asia & Pacific,Upper middle income,ROAP,East Asia & Pacific,Asia,Eastern Asia
Colombia,COL,Latin America & Caribbean,Upper middle income,ROLAC,Latin America,Americas,South America
Comoros,COM,Sub-Saharan Africa,Low income,ROSA,Sub-Saharan Africa,Africa,Eastern Africa
Congo,COG,Sub-Saharan Africa,Lower middle income,ROWCA,Sub-Saharan Africa,Africa,Middle Africa
Congo DR,COD,Sub-Saharan Africa,Low income,ROWCA,Sub-Saharan Africa,Africa,Middle Africa
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,ROLAC,Central America & Caribbean,Americas,Central America
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,ROWCA,Sub-Saharan Africa,Africa,Western Africa
Croatia,HRV,Europe & Central Asia,High income: nonOECD,CRD,Europe EU,Europe,Southern Europe
Cuba,CUB,Latin America & Caribbean,Upper middle income,ROLAC,Central America & Caribbean,Americas,Caribbean
Cyprus,CYP,Europe & Central Asia,High income: nonOECD,CRD,Europe EU,Asia,Western Asia
Czech Republic,CZE,Europe & Central Asia,High income: OECD,CRD,Europe EU,Europe,Eastern Europe
Denmark,DNK,Europe & Central Asia,High income: OECD,CRD,Europe EU,Europe,Northern Europe
Djibouti,DJI,Middle East & North Africa,Lower middle income,ROCEA,Middle East & North Africa,Africa,Eastern Africa
Dominica,DMA,Latin America & Caribbean,Upper middle income,ROLAC,Central America & Caribbean,Americas,Caribbean
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,ROLAC,Central America & Caribbean,Americas,Caribbean
Ecuador,ECU,Latin America & Caribbean,Upper middle income,ROLAC,Central America & Caribbean,Americas,South America
Egypt,EGY,Middle East & North Africa,Lower middle income,ROMENA,Middle East & North Africa,Africa,Northern Africa
El Salvador,SLV,Latin America & Caribbean,Lower middle income,ROLAC,Central America & Caribbean,Americas,Central America
Equatorial Guinea,GNQ,Sub-Saharan Africa,High income: nonOECD,ROWCA,Sub-Saharan Africa,Africa,Middle Africa
Eritrea,ERI,Sub-Saharan Africa,Low income,ROCEA,Sub-Saharan Africa,Africa,Eastern Africa
Estonia,EST,Europe & Central Asia,High income: OECD,CRD,Europe EU,Europe,Northern Europe
Ethiopia,ETH,Sub-Saharan Africa,Low income,ROCEA,Sub-Saharan Africa,Africa,Eastern Africa
Fiji,FJI,East Asia & Pacific,Upper middle income,ROP,East Asia & Pacific,Oceania,Melanesia
Finland,FIN,Europe & Central Asia,High income: OECD,CRD,Europe EU,Europe,Northern Europe
France,FRA,Europe & Central Asia,High income: OECD,CRD,Europe EU,Europe,Western Europe
Gabon,GAB,Sub-Saharan Africa,Upper middle income,ROWCA,Sub-Saharan Africa,Africa,Middle Africa
Gambia,GMB,Sub-Saharan Africa,Low income,ROWCA,Sub-Saharan Africa,Africa,Western Africa
Georgia,GEO,Europe & Central Asia,Lower middle income,ROCCA,Caucasus & EU's Eastern Neighbourhood,Asia,Western Asia
Germany,DEU,Europe & Central Asia,High income: OECD,CRD,Europe EU,Europe,Western Europe
Ghana,GHA,Sub-Saharan Africa,Lower middle income,ROWCA,Sub-Saharan Africa,Africa,Western Africa
Greece,GRC,Europe & Central Asia,High income: OECD,CRD,Europe EU,Europe,Southern Europe
Grenada,GRD,Latin America & Caribbean,Upper middle income,ROLAC,Central America & Caribbean,Americas,Caribbean
Guatemala,GTM,Latin America & Caribbean,Lower middle income,ROLAC,Central America & Caribbean,Americas,Central America
Guinea,GIN,Sub-Saharan Africa,Low income,ROWCA,Sub-Saharan Africa,Africa,Western Africa
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,ROWCA,Sub-Saharan Africa,Africa,Western Africa
Guyana,GUY,Latin America & Caribbean,Lower middle income,ROLAC,Latin America,Americas,South America
