Countries,Users,"Information (organization, profile etc)",,,Regional @,
DRC,@luchaRDC,,,,riskmaplive,
DRC,@ida_sawyer ,Human Right Watch - DRC,,,IUCAnalysts,
DRC,@afrikarabia,News,,,,
DRC,@GEC_CRG,Analysis,,,,
DRC,@ChangeIA,Analysis,,,,
CAR,@UNHCR_CAR,UNHCR - CAR,,,Conflicts,
CAR,@ilariallegro ,Amnesty international - CAR/Western Africa,,,ODIDev,
Syria,@snhr,,,,africaarguments,
Syria,@arabthomness,Conflict maps,,,riskstaff,Conflict maps!
Syria,@OCHA_Syria,OCHA - Syria,,,,
Syria,@Charles_lister,Analysis,,,,
Syria,@TheStudyofWar,Analysis,,,,
Syria,@syriaincrisis,News/Analysis,,,,
Syria,@aronlund,Analysis,,,,
Syria,@Julianroepcke,Analysis,,,,
Iraq,@arabthomness,Conflict maps,,,,
Mali,@jhjezequel,analysis,,,,
Mali,@MENASTREAM,news,,,,
Yemen,@omeisy,Political & Info analysis,,,,
Yemen,@muftahorg,Analysis,,,,
Yemen,@MiddleEastEye,News,,,,
Yemen,@YemenPostNews,Local News,,,,
Yemen,@almuslimi,Analysis,,,,
Yemen,@Sanaacenter,Analysis,,,,
Yemen,@JamilaHanan,Analysis,,,,
Yemen,@AEIfdp,Analysis,,,,
Yemen,@Jnovak_Yemen,News/Analysis,,,,
Yemen,@adammbaron,Analysis,,,,
Yemen,@MarieHeinze,News/analysis,,,,
Yemen,@bilquis66,news,,,,
Yemen,@TweetsintheME,news/analysis,,,,
Yemen,@UNICEF_Yemen,Local Unicef,,,,
Yemen,@BaFana3,News/Analysis,,,,
Yemen,@FuadRajeh,Analysis and news,,,,
Yemen,@WHOYemen,local WHO,,,,
Yemen,@hanaalshowafi,analysis/news,,,,
Yemen,@alasaadim,News/analysis,,,,
Yemen,@MENAPPete,analysis,,,,
Yemen,@mohammedalqadhi,News/Analysis,,,,
Yemen,@K_Beckerle,News/Analysis,,,,
Yemen,@ymnraf,News/Analysis,,,,
Yemen,@jaguarofYemen,News/Analysis,,,,
Yemen,@UnhcrYemen,Humanitarian,,,,
Yemen,@Nawalf,News/Analysis,,,,
Yemen,@ochaYemen,Humanitarian,,,,
Yemen,@Dr_E_kendall,News/Analysis,,,,
Yemen,@Yemen__2016,Analysis,,,,
Myanmar,@mmpeacemonitor,Conflict updates,,,,
Myanmar,@Asia_foundation,In depth research,,,,
Myanmar,@Kim_Joliffe,Researcher specialised in Myanmar,,,,
Myanmar,@JamilaHanan,Rohingya info,,,,
Myanmar,@Pierre_peron,News,,,,
Myanmar,@The_MIMU,,,,,
Myanmar,@FrontierMM,Indepth articles,,,,
Myanmar,@TMclaughlin3,News/Analysis,,,,
Myanmar,@Reaproy,News/Analysis,,,,
Myanmar,@fortifyrights,news/analysis,,,,
Myanmar,@elevenmyanmar,News,,,,
Myanmar,@LauraeHaigh,news/analysis,,,,
Myanmar,@rohingyabloggre,Rohingya info,,,,
Venezuela,@CaracasChron,News/Analysis,,,,
Venezuela,@DiegoMoyaOcampo,News/Analysis,,,,
Venezuela,@ovssalud,News/Analysis,,,,
Venezuela,@nmcrooks,News/Analysis,,,,
Venezuela,@WellingMichael,News/Analysis,,,,
Venezuela,@Hannahdreier,News/Analysis,,,,
Venezuela,@QuicoToro,News/Analysis,,,,
Venezuela,@ReutersVzla,News,,,,
Venezuela,@VenezuelaEcon,Economic crisis,,,,
South Sudan,@RadioTamazuj,Local news,,,,
South Sudan,@EyeradioJuba,Local news,,,,
South Sudan,@JonathanPedneault,Researcher,,,,
South Sudan,@southsudantribune,Local news,,,,
South Sudan,@Radiomiraya,Local news,,,,
South Sudan,@AlanBoswell,Researcher,,,,
South Sudan,@CitizenLagu,Local person,,,,
South Sudan,@Southsudaninfocus,News/Analysis,,,,
Colombia,@Colombiareports,News/Analysis,,,,
Colombia,@ElHeraldo,Local news,,,,
Colombia,@ElColombiano,Local news,,,,
Colombia,@RadionacionalCO,Local news,,,,
Colombia,@Noticiascaracol,Local news,,,,
